title,link,company,summary
Front-End Software Engineer,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9q-7wlKkIieoG85tHChHuoT6x3Q8vIEjdDok7Y2rD9RTgOYU9eu25X1WmJM0faub7UVcKXdSDVjC__xY9ebdQfdWOZxSBLrL5-7mVYYf8S5Uj6IOEgY9k48fl1itlvuKnM1vxcm7A8-fGT_9ZwO3Qtlh5W13_3ty83Uzv_0gv6pw8mMIlxUYZStYSnCPULb8K0nMhvXj2s0dMbTlC0qIcPT1m63Qvi4HIq45m_WncKA3uThK7ifnVWPPFd9LN8pTN6en-c_IY06ne8VEhH3swgV3IGInL4VDxjs_wODZFAIMtVRGL8zuWsnRhkyBAY75wXzcPvLHi7rAe0zIFo1zBMYwNjsdpa6KJe44PlzSgxgucv4MBzv6fSl_wYqK_f8ooOW4EdSBOZI8qqdL2PhJhk8Retc6NXpsVm88c_ZSbJ5udpWvFMWp9xGDS81qNW-KrXyZM8AtQa5ab47jJBKmr2i-ag4WAau1Fxhh9Xfxkj4C7s_t56D0eXwwl2if2DrfU0Yz3ZorlMNLd1VHJmk59Il9d1MJE1LXASl6vZ-zTxr-uknS_yBJjK28HK83Y8HpTiALGsCRUc6wGbhcrb8Yl8TzmeAVEscTmw92KQOXO07UgknHgUmOdhJ1zYfxUdYyPBR_0xvT80kfyewOkPX_egxX5j4-KQsMtT7WSg1IXAXVO3pSs_CkXJfpXaL7bn0MetdGKMGj9-k6NTFQvHG6ZYMyENdTaoDmUozC3HN8NKtB-rtLHuz9qK4vHMGoQuztrLxpCyFnFhNJsGtitqv0mTrQH3S3Jz9wUPFb9mhnhso1YImR7I4l_ao=&vjs=3&p=15&fvj=0,NLS,"Write well designed, testable, high performance code by using best software development practices. Gather and refine specifications and requirements based on..."
Senior Software Engineer (JavaScript),https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9q-7wlKkIieoG85tHChHuoTOnKrF1rCOmbmCfA91PwY4ssD0UzIj228fvW_Rq-DuuEJBHPu31qWLSTFlIUmDEzSRKPKGUmSpZtKDjvgc7c8mXLD1ZfTcH5ZjMt_-vdTIuFfQwoNhnjeHYl5xqqJQvgm2EXyO9N8tn7YnO2n2pKbdQJR4QOBZ_GaHVlRF-Z2ItVU0bkpsL45okdFW-JcvbYCv2Kp9moF2vGtt21jKSYcM0XRz3ROwSKci0DzF3KJxhg0E0GM0Urw3TyeRHoSSJjkroHytHTjyJleUuaz8qZ4ZnFyPP1gpW_lV1VFomW23_5UZmdhmhTJD7bTTlleOpNRrop_FCMjeUJver2PrtPj48KVSigpguP1dIBlaVlx2D09OWQ7hCalpJlSa4ADqDyOvBxPmwS77QCEjVEadALphb-WkUNJnkrW85IuCDlLghingpwrqVR_93oK3ThmkwXBuaGJo_EKD7Ht6a_d0z8CdUavZ85-Yt0nq0-uIRuNHi1GCpd11J0SddTBOz5-QpYd8d5Op48jJhwD3O-dHU0zHggAxaWjnZdSnhzbY15TN875YX1eK2sMSKgSOhevfSDemF3ycbIG8FHfI4WdfPL9VTAGd43RS2vjZDR7GLa0xUZXK0Qm8J3nY-13CzYkqqdZ-6a82RazAcyH4_Xf-wWGkIhqjHUzGD1-UrpJWGd-yMqkDO5fFT6dyd0hhqVdBvBIrdvN9RkSi5gwF0cnAZLp8RVqHYq_pevQYMJBmG7VkFOiNdkiRv1_4V2FFInuyFwTcXYOOD_9VHGcR40Lbx2gi5EWmxUi7WIRK-rYVU4RRXQ==&vjs=3&p=0&fvj=0,Mainstay Asia,"Ben@mainstayasia.com with 'Senior Software Engineer' in the subject heading. Be responsible for delivering quality software which is robust, of the highest..."
Manual Tester,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9q-7wlKkIieoG85tHChHuoT_U4Blu7Xhtms5fbncrO5R-4Aa16yJLsCRhVA7AofOF0w0wwQ6PkTigkU9J5cfjkzJVkpTyP6evJM8kTj_DGVXD7OwgN8FMU2DhY1Cggx29asaZzz3-FsXtimk1P2v8bQ0PlC1-ABhCFfbvhLSG8vvP4BD1pEN3QRyvxuzLAXWfhGXTgg7Cu6WsJjEwYKviGRpuzn3SuypelljFYkNIK-5hae3o7cx9aadUpU0iBuasC8Big-_UOjwPoYIIpZYJenxS_08TDgGK579KrPyKjscFokmluvNBJD9V0YgN7Y9kIg5c0rFMVWRb7HQj-t3iV9or3EX8Wci1CnVipi24iPrm94E8c5Et5ZJNZWg6dLtIDWpBC60cnETyxNuDLx1b2YXBll52l3JkzuPhQljOgR0qeUeb-sefOBhy3dEbtySRPBkU16HCUu_-FqzHt8WE8QkQWf074XsYX5NP_yTHZ3gRhvU-u-K4W9I0CR5dyWhI35oFnq5vmQ3OjPqP6EeVaUMNKB8uRbsaZePloBf6DyxN7-2KZf3bE6ZLvXB4k4RhbkhDTaEgIV1y-e9c2F7tiPO_2e-aihL6UCm4XqKHFUAqCk_u0Cw0ouk9jT0y_xmE-18luCNYKoyMtucnRnW0EAnRLTCORtLh8zloXnn20FFjswOeArzyqHPjzUdU0dzXSZDguVVbevN7r943mJvex4xktkwKU-wQ4VnVVfV19L0j7OmubiTid_IizsAeOP_cYUIazM2vzszKCf5EQeRZvc=&vjs=3&p=1&fvj=0,Capgemini Financial Services,Work with cross-functional teams to ensure quality throughout the software development lifecycle. Review and analyze system specifications....
Platform Development Engineer (Java),https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9q-7wlKkIieoG85tHChHuoQQR9v0QIoZxTjy0CrsojuItCm_9w8ykJLBGUDspIKUBZTb4reJuoTEn2M4rujHXVscUDQEDlcjqsPPOA0TerM9jMt9nY7bZWr_vnt8_-lTPptEWtDTd7_eohUX-JrjYgJuorhfMXAbKnPcM6pVhrxaSXpFLpm11_sWlWiuIxmJrClehN7plaTnk0sHR13NY_eTLQqEoJKSk4rcEB13K9t0bcBVveEEHloWtjxV8OseoFS1MQ8PGQTo4eGBXGNQtrH6FpNyhA6BCA_KsMrC8BkxkpceM1onaUtp8oOvwd138_UX5ZtwPNabSrQzBJaQ1gqc_pDPKy2Tt3q-h6NbkYgLiT8DViKc7DXy3VeTnYVbZGuWFewJ1xlx1ZvbTBdM8C88vorjHRFmO4po2Yt3XsWGf5aScACQqhEK1996GaapVDz6zgUA9gfEeBu44qBhONjKCOtJrL9fQGoNr_DgIGrsxn0h8LiIPj8JOTxOTA58_nEho_e2K7d1zGA8FQ6fmnzl2E777eyq3t0FOudbOdhy8WBL407uxY_W7Syp84Mai_RK9irYxr40nIoF3q0bjBEXEfD2U_Xtup5DggmPejVO8QA4GaClsQS0ghNoUXraF0t4c4Fo2_pQQDN8KAZTm7lCmGw6xWQRLofO9kowoIeDrthF_lxvhaF475r_-Rr1N1rG7mNlRtOPaCQlz4cXi90eMHSTk8KavoFzL-1JAkKne9HtCq-5rf8pVuvWpWQP2Eb10nb7-EUXao7HLTvaLZPJ2Yb8Zg-AMon0Ju2OPlpxq2MneXnxSSs=&vjs=3&p=2&fvj=0,Keyteo Consulting,Work closely with Platform Development Engineer and ensure the quality of the Platform. Lead the design and development of the Platform in Microsoft Azure Cloud...
Trading Systems Software Engineer C++ / C# / Java,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9q-7wlKkIieoG85tHChHuoRQJX-meN2BlL_r7XxAEWy-0BYvexd8C0982JQSxI7vVdrqPRdZmafYCmIUj05I0snuEYUH8BvZDdHiCV8KQtbdbIOHbbH2uPsFl9ZXlzYgTgVxg7gywh1nP_n1pwz5bOZ57ZoMwDzaN9gKjycDEWR9TiR905dNpG7iyq8H7hObFlrbW350Ab1vvfK0iHXIW4tUZzp3Ut6vzZi_dI-pUeeiNB-IBM3xf7hwiLnzf0QbDvY4kS6Y7_HS8ShQhawgEeaXrXFTn0GUIksGkuEzch_okAITIJrnytxtUJo2kNV2k1XbaJSv5dYaleIT4loOZqZwobIw0XxyUmtAURXvcwaumzSfiUYAfKYsCavME4Yoz3Crnydp3cghAEjFeiXuhS_0gAPrNBtuJuOJQ6InmCEp2eKL8Z6ixSoy20te0287P4huz2n1CPsIpArjsIJRH26PwDBp2Uup4IRi-tCaHNTnNR-ht5h2_PXEZrV52tBhvRqMcQnOQHJbQkW2UoiStY7dCX_IlCd9DwilTAMZKa49_aViheNpmGhklsrHWQ-WlaQWtSVZuh_nJ9GemckSuCNV8IByzmGPOTd8AK7Ykqk_5naZHZ09Sr568VdUgzGQeQ1LbK2ngJnFqEVV9CStGSrjGAZlXd87p3gK4j7LqEKe6iIjAR3I-SPJ31GyLFv2FLR_CwCW_py2Z2GnufmdgirSThhQ46-1mEYB1KqDg-3-ULiPeg-0DDX5aqmosIn_hcj1hUDjH9GTwVE61lXKtJegMZ-j3XndzUWqWcjNrg6Z-VxTsimlBXR5jH1kd-d8Bg==&vjs=3&p=3&fvj=0,,"Being part of the Trading Technology team, you are responsible for the full stack of applications required to run the trading business. Arrange from..."
Software Engineer,https://www.indeed.hk/rc/clk?jk=338ecf9a7eab2e88&fccid=780219885a6f6ccd&vjs=3,Introv Limited,Job Description To conduct client requirement and objective analysis. To assist in system analysis and design To develop and maintain high quality robust...
Systems Engineer,https://www.indeed.hk/rc/clk?jk=e388d1bb0d18c21a&fccid=236ee7177bdb2ebe&vjs=3,REA Group,"Besides, he or she is responsible of the deployment and configuration of software application releases in multiple environments...."
Data Scientist,https://www.indeed.hk/rc/clk?jk=3a4bfb3dbfab7277&fccid=7226bf9de22f37a7&vjs=3,Tessella Ltd,"Designing and developing custom software solutions or tools (e.g. Software underpins many of the solutions we provide, so you need to have some programming..."
Software Engineer,https://www.indeed.hk/rc/clk?jk=1fec5aeaf9c14ab3&fccid=9146fc7185220daf&vjs=3,Melco Resorts & Entertainment,"REQ603 Software Engineer (Open). As a Software Engineer, youÍll be responsible for crafting usable, adaptable, reliable, and secure software...."
Desktop Support Engineer,https://www.indeed.hk/rc/clk?jk=563bbe5a3c3eed18&fccid=9b39a3024d46d912&vjs=3,XY Capital Limited,"Day-to-day support and troubleshooting of core software systems and application packages. With the investments weÍve made and growth in the firm, now is the..."
Electronic Engineer,https://www.indeed.hk/company/Yau-Hing-(HK)-Co-Ltd/jobs/Electronic-Engineer-aa30dc49698fc176?fccid=3659b20a70ad8a17&vjs=3,Yau Hing (HK) Co Ltd,"Work with software team/partner for driver, firmware and apps development. Prepare schematic drawing, review PCB layout, prepare test plan and specifications...."
IT Projects Engineer,https://www.indeed.hk/company/IT--ec-(HK)-Limited/jobs/IT-Project-Engineer-337e386f82f23066?fccid=d9311331107912b5&vjs=3,IT-ec (HK) Limited,Hardware and software inventory check. Holder of Microsoft Certified Systems Engineer is preferable. Candidate with More experience will be considered as Senior...
Project Engineer / Assistant Project Engineer,https://www.indeed.hk/rc/clk?jk=78c1d81a20bbfe7d&fccid=64a2bcff19e2c730&vjs=3,ASC (HK),"Proficiency in MS Office and AUTOCAD software applications. Plan, execute and coordinate ELV projects...."
Senior Software Engineer / Software Engineer (ITES),https://www.indeed.hk/rc/clk?jk=8fc20e1987efb93f&fccid=f4bb736750dbd965&vjs=3,The Hong Kong Jockey Club,"Perform system design, development (including customization, interfaces, conversion and reporting), testing, and software release...."
VMware Systems Engineer,https://www.indeed.hk/rc/clk?jk=d8d7ecdbb8a03f1d&fccid=0918a251e6902f97&vjs=3,DELL,VMware Systems Engineer. Knowledge of associated software and applications. Provides high-level VMware relative technical expertise in support of pre-sales...
Sales Engineer,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9q-7wlKkIieoG85tHChHuoRQJX-meN2BlKnLoNcW4sPxJPU5T6jDdzZMlpP588HtJWGaRNzRPnIFYwcItBBwEWgDIrGJCfn9PH1KvVI0o9ul0BIYKJGIWVdbu9uZMKp7xESh87SFlbsn_iQGhQ13RZ_9_CyLBZee_d6TLf94b32VVOwtYdVgq28wzaqXEAacP_6YlvWVmsDq90HsjMFF8qWkGBcfR0P6Hs-rwHEmMA0Jf_0mZe9pt_6PnSqcorjf-X5Ohf02MZw_Ru2nvrqahk5r4Zg5dyCnjc_sv5Pheppnqh5y22sZ00WsYM_1KKa8q5X1WJbmOaLTMU5gb-DWBxs9alO5vnu2WxRFoKGvjjn16eluBzSYibCagLNsLH99ONYvKcdCXmXUwzwLLOhF-93OcF5xNlwYlL2YZZEz3dTm19n4XPKcH2bLKLb3j9QIUf_hJbUR8TuziXDBnK7oBXlh-W2kMM-W3vHQR6NDNZ-GP4OCZSoZdpCLOL875uoSbJ0rvDehTyTmWjq9_z16-1fQyxUgc2vYV8yQxAJI07MFELcFIXAsxyRZcHeYZdOxismqAW7cQ1LCeQvUxU9uRmxJtSO3vy0odVNLOtLuvFbTf7fw17ujJgfct7wN-Eivh67JP8yJ6dsURGJwOvMwa4pKCxCGm-rXdTEMJLrVy0bkJe-UCAgCQXUZFTzFCEAoXYNQCPtUQTYmmEUnNHl19Lc45pM34TBOD0xZlWIFLD4KZbsgeno5IgNRyK4xQuV0I5fSDJgdjvd_H_diNpn-VHA=&vjs=3&p=14&fvj=0,Huxley APAC,"The Sales Engineer will also provide post-sales support, including identifying any issues that may arise after installation which include but are not limited to..."
Software Engineer,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcwg9Naab9KVy_ezm-73tZfqOQAZeFbfNrLGTu0VxmYqiq7XfCs6leK-mYuyPeo-aXEx9hc87wKmXGD25IlURc8lUL5S0SG2GusN0nQ1Hz7Ub5-am-kYBITFSAhW9e12X2OPx9SRVOJqPPBqr20jrz14PLVZU62mdJBN9up6pOPaAf4icn5uTCw5kta2iT4YspnSbs_NKC0jFk56QNbcgpmS-Q0EpCFoe6PeaFTX50e1sftb0ZB-ZinlBSx9tyEBspYcnAi87Nv4tRNbiO6c5eDw50QhFxjiR-uDTJz1oXFMuQDiZUXmZbagyscHCcgIlTQVdCU0S15TTxHs6s_puXhuHOV-BivQJiim-kFb5Bg47ngtxNwlXI08vAeq0YwgTkFmGcjjFZyyuHX3HpHfG63t3BFqW0O8BtIApWb7vbrVdcbQk9YJc9fSoNUSIvHPvzb_Kn7oixqOYOfTTABfWEB0JMdKiLBQp5VqMcm7skQVmdBOhd9g7E9VmlDlK9SJBL4Pc30lG4OHtWDlqhLXX4pR8zV1LSvn0wJ5VJAHvUppmppsAkFuXZiUj4WoFtgeCtSFEkfy1cnoWhrxmX5DeIskYwwgp7kX50ksNdGHgz_7brKroAWDqTHtIZUpAENCqc8=&vjs=3&p=15&fvj=0,MotherApp Limited,"About MotherApp Were helping people livebetter lives One mobile app at a time. Started in 2008 by an original Google employee, MotherApp is a Hong Kong..."
Engineer(Quarry Bay),https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0AMuD6leFL2LQyShjXlW-_0CmOvDvwZ81xsEIpB6r-nL_yWVFyNGcKud4N7pUx71Ach6Zi-_ySvhdSJtOoupCl1fT00RMDDoBpL9AfBkoRrSF8IVeJMPMuflpHtuHb-bbcVs3mFLv0hIY8SJWyWvv7GJzrFXNHvKUCF_vvbj-qFYgeG8xrvMZJo7dMxqHkNtLGaTvOOw7jVcfypNzBHkbhA1jl6ca01GFWxQqIoZ4LMhZoC_O3t243c_xZWaO5CEGP9jZCXDFMRbjN6XnA4-si4bZKrpqNEec7PB3x2cUlguLBn8vcZnbCXjsV1cflow_vbootfRwN49Ezylve0pY6flWHT_6uyhOMOG2fATk63e6VeoK5Ql6JgI2bbtHjI2YUshDxKdZk8tZ49Jj1Ivi2lP8fGZZGpX8nE2zWJy_ULhYFi0sNsArEO4aFnrl1h2IK5wdMgiW8xhL5THomXIQIqyUSFke70OrgKUwoGWYpfljwEqfVH67uGIzcYTp1TYvpCEuBXm5xteX6Y9C_DCrdg7DB7nIxrMt2koUaKbxxZDxMirJFKh9HSeSqkjsn4EMFbCNn9L7FY29ZcTBuh7TccOmNIS8M8TlY=&vjs=3&p=0&fvj=0,Reeracoen Hong Kong,"Security Engineer, Software Engineer, Software Developer, Pre-sales, Programmer, Hardware Engineer, IT Executive, Systems Analyst/Consultant, Project Manager,..."
Software Engineer/Developer - JAVA/Python (Investment/Tradin...,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9q-7wlKkIieoG85tHChHuoTsapoSokd5MFhK_uiWxdMcnOxmW7neJIAK8EdY6-utgCHeaxgxmlBw-8uaBOLBAzpE6R7rj9r7PtZ71HvZlyDxlIu50-6T5hBNf10fc-4gj6cKJT72CK7Sm3ArZemJcUCNbXr34LSdX54qZNTgNEFPznVQ5JI-XEvD9JHn2YAuld2NgieLmS50vy2wDolH2SyfdXuAlSaJARYRo8lhKq-g_CvX3H72brC_jq_3LyBh58xnaeuaOqX6cthEkKpS82vdkScN8CCvoAvfXq_ESw7oXikuaDjl3syUAbnKZrhwJ0jHCUHuV2p2wESpeluWk_N012jfPTdKFkbu8yQDCkoagHW4_NJ28BCcseU0S71v4jqAJ43uCPDAetyyT54D5VCQl-3q7s9rwg-oo1iNL9z6_dQyt1vibTjLisnsjQ_-XW_Yofayt_9KQCC0c9-lPnFCmSStFCf5L27Cwv4seGdJYhf9JO4_U3-DM3Q4hm8cxVZL6MW8ZQJtXR6L6Ohq5POVwoOLoWRdsLyDuY7lNUYsm0sqdASXCY5cV5jNqCe0_iB2IlmO99pneSjSg2klgcoHOQ4_2XbQMOJby6w1sUMO1GA7qTQNepH6hSvbqp6LnIwBkxvqIyhqppZKKINi2BoYI7FfPaj5rydGAyCNuengqhNG0cY-JIiDAMNHIVO7oVSWhNV9pCJgLZAEyd86RFOikYt7IH-eSZ3zsQKA5cgNnUOSmOeOeBEEoqEhSG6SaM_H4-alJTJ7KTEqG7M9u3pSrtqSzj0owaC7hK_iEBcugl5YvZp8scuse5iCimkitr1I5DRwOOU9022KWbmAZ77OABaLFrdCYw==&vjs=3&p=1&fvj=0,ConnectedGroup Limited,Job functions: Responsible for developing and supporting trading environment in multiple areas Provide L3 support across the globe Assist in enhancing...
DevOps Engineer,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9q-7wlKkIieoG85tHChHuoRAcqMTeIJjjEkqQbA0IpDTLxs9eJhZItLgXaKyHE-fbK66nlCWzkvELtw_UIoqCwxp_5m5c--o37tFS1t-RBPNDU24KfeZC7XXoW30ieHwklYlMYeumzbTERV_aJfFGkJsdn0dr7sab3uYNWT31WcEKSM8q8ILtRxJY663CCRcTaQGGOWHg8V9Ca4Jx1TObggLViVYD9tQ4lqLzemyggrwoVMBkPz_6_-AlqpQiugu2LWufnR7qhyLN08kwlZpmo8lLmt6dK3z59I3oSBmKnvgPFPolUbvV9u1eziIZJb4OCFg0Xew3tkS38s_L3l-XPIudZFHRuhv8WtfyydAYFJ_a5VPV7kHkDBb1n_be7q231LaLUvC3QgdAOypGnrCFyLrNI3ZFte3YkxyqBCETidCZmh5CR0RiqLFvZK0o2bwcofpzverAZC1RtIKZZkOALyCgYfEUh1e7FCHlF8czzLIvR_MayiSxZIPEqCpggjbh0efmSNvqsEWZ2M8hlYCXza5ZRphTHBqFRQVyqABaeBuEjI6iVlC1tiozrHzB4HAUepgEBE6YgRhGNzAhfmnot-J-c61g8fcQxLzCTnTlRQtaatwNDzJYdAmGCLMfEPuH7VR-iC04TztxBOmMceXw_ujGi_822DZQZDrM-85meL8HCBgo8-AyZJT_wl9JwmQiNiqP7HXo0-ARByUOLvB8WuFeY_6FMGj3evbFGA9mqnW1s9QhxeS3kj6dHfinWEOBlMK0pyb40D62ne49rOZbrM=&vjs=3&p=2&fvj=0,NLS,"Experience with algorithms, data structures and software design is a plus. Currently they are looking for a Devops Engineer to be responsible for building and..."
Software Engineer (Fresh Graduates are welcome),https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcwsO6asyFw9siAetmCIXF6LtTb9bq3RQLnXAnNBxYZoftibHrh75XIoCXhH7XdUflzvwGJanq5GR2m2Bh14zpjhD4bqx7PEQq3qQR6gyq7Oy3DmKBGwQZYLvaTDBg9j2PUEb26UkR1StmEnZ9HcF0oErBEQ_3i1BKh3Ozle7d2wLe3T1TCEFb4M_NU_DYOYWaTnVB5jWNp2YyOtty1XLQrCtha4aVj0jwet55BHAmvHcC2e-0eO1vaAWckC2G7HIXCPdJuV7hplwTdDAG3qhvec_wadB65y0ISn7xMQfiSG4Eb5eWrQ7ZKbqt4yGqodsSpzXt_Fn2sKvu38tKjDQP3bmstYwLZeD6GvodRvRyEBIZbGnVIcL44i-8Y6GQBOucrAzmI1QfzC_YYVeGoP9wb0fv8w8XSzcQh_f5XciNBzaGpKZKRbplwVCGBZqGKgz8J92u3qcknBbG9m0NYZC12QuA_bT3aWsRbRFB7ruMMCMY9ShJiSDvlOkULzoOQFF1KtbG1WAlHZqqDa6f0IxPywnBDfziU3CdjoLr2rpCgNZAbJIsy-VsD1PaYEbSxi3u906WhTuOnAUDd-6S8ZEE9wDzsw0X2yraeVTYaju9bywXclrKS9KBqK&vjs=3&p=3&fvj=0,Oceanx Technology Limited,1 - 2 Working experience in a software house or solution provider is preferred; To Be theLeading Enterprise Information Management and Delivery Solution...
Senior Software Engineer (Fintech),https://www.indeed.hk/rc/clk?jk=4f67b1692a08f68b&fccid=7e57982cb894da40&vjs=3,Classy Wheeler,"5+ years professional experience in software development. Solid understanding of core computer science concepts like algorithms, data structure, software design..."
Software Testing Engineer,https://www.indeed.hk/rc/clk?jk=61e44971d1c2d001&fccid=9146fc7185220daf&vjs=3,Melco Resorts & Entertainment,"REQ822 Software Testing Engineer (Open). As a Software Testing Engineer, youÍll be responsible for increasing the quality with which we deliver software by..."
Service Engineer,https://www.indeed.hk/company/OneAsia-Network/jobs/Service-Engineer-5e748dd5564bce3e?fccid=e03de5bf389cdf80&vjs=3,OneAsia Network,"Perform hardware and software installations such as:. Partnering with the technology leaders, OneAsia is able to offer a full range of cloud computing solutions..."
Solutions Engineer,https://www.indeed.hk/rc/clk?jk=070bb4d928a3ef9c&fccid=4d3f4a82e1bbf0dd&vjs=3,Laserfiche,Deliver first-class software solutions using a combination of out of the box Enterprise software and custom-coded solutions tailored to an organizationÍs...
Project Engineer / Assistant Project Engineer,https://www.indeed.hk/rc/clk?jk=919ec725342acf7c&fccid=82d8e89275733121&vjs=3,Lam Geotechnics,"Strong software skills including Microsoft packages, hand-on experience on modelling and drawing software is a definite advantage...."
Technical Support Engineer - Hong Kong,https://www.indeed.hk/rc/clk?jk=abf64f45f516153d&fccid=8fe532914ac012dd&vjs=3,Options Technology,"Desktop Support Engineer _ Options Financial Technology - Hong Kong. Provide first line support through the call-logging software and on-site, as appropriate..."
Test Automation Engineer,https://www.indeed.hk/rc/clk?jk=919b642b495dbd63&fccid=75c1d432a66db773&vjs=3,M800,"Understanding of Software Architecture with focus on Reliability and Availability. Design and automate test plans for mobile apps, web and backend applications...."
Deskside Support Engineer,https://www.indeed.hk/company/TalentQuest-HR-Limited/jobs/Deskside-Support-Engineer-8fe4c887aea7de12?fccid=2880424356f666e9&vjs=3,TalentQuest HR Limited,"Troubleshoot for hardware & software, e.g. desktop / laptop Windows OS platform, Apple MAC OS platform, Microsoft Office, Anti-Virus, mobile device support, etc..."
Field Service Engineer,https://www.indeed.hk/company/Honeywell-Ltd-Hong-Kong/jobs/Field-Service-Engineer-cc32f78a9e98678f?fccid=fc94638efe1ab0f9&vjs=3,Honeywell Limited,"Perform system design and execute engineering works, including software engineering. Experience in computer systems, such as, Microsoft Office Professional,..."
Safety Program Coordinator,https://www.indeed.hk/rc/clk?jk=c91390f75e16cb74&fccid=36e3ef2aedb91842&vjs=3,U.S. Consulate General Hong Kong and Macau,"Facility Manager, or the Engineer during his/her absence. Software, database management, spreadsheets, etc. Must possess excellent written and oral skills. U.S...."
Back-end Software Engineer,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bcwIgYKpMQ9yCejG2XWqzpXlRHchzNsnJZYmSI-FdnkV3QEGP0I9bJqIZaATmeav8FicGjAomNUrulMLq9O-9Cp2G1eiJxiwNW1lv1yGELv0uuSzfpZJrCobJheqr1jtUnJPf1mAlwX1Ur7D5MRm6pX4tYRK_XX8eethrGPubvueyTgs7gdEs40y3ZtnQuEtL-4fkSJTwFVpNAMrIEHKxSrvzgnL5JdlHR7-EQgTxlZYazPpjhm6dmoi9g9NvZ1LCNMq7MCMeDmraKYWiY87k9k-yKyAoJMLCk16RNapwB5lYpDu8GawvwcKuEUaEEwGSI06NjMLl5ISk_c6ulr1Wa2WiqtKw0Uyz--vqu8md8GhU6zaQokfuNRsFXleKpSempwokT_z9NHq6vU_yeKfmbNFw6gg2OeJIWnPmrLZ_9IhWc4YnKlRPNVO91g3jy0wJg8rx6jzPG_QpBtw5w7DgVXnq5Zj8PI019eTebbEzUoizhuyPnEIF7lgNAZWunyYbh8XC4Ay9BFzjUaEbrYKbQeeVlzFKcj2yDjvUDyjcvH-i4djty_ns5cKFmfVU8kJOrotgypHn277unerYGNY916-ve13mQutZTc5K9zRt5sT66bAgx03L9in&vjs=3&p=14&fvj=0,HK01 Company Limited,"_____________ __01___________________,_________________,___________________,__________________ __01______________________,________________..."
